record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-463|2024||Proposed|Construction of a wall fence at Lubuto centre|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-464|2024||Proposed|Construction of Chanda bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-465|2024||Proposed|Roofing of Chimwemwe secondary school Hall|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-466|2024||Proposed|Installation of street lights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-467|2024||Proposed|Desk procurement|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-468|2024||Proposed|Construction of drainages|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-469|2024||Proposed|Borehole drilling|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-470|2024||Proposed|Footbridge co-sharing between Buchi ward and Chimwemwe wards|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-471|2024||Proposed|Street lighting|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-472|2024||Proposed|Health post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-473|2024||Proposed|Police post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-474|2024||Proposed|Desk procurement|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-475|2024||Proposed|Education (wall fence and roof repairing)|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-476|2024||Proposed|Street lighting of various tarried roads in Buntungwa ward|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-477|2024||Proposed|Drilling & (water) construction of (5) boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-478|2024||Proposed|Construction of a placenta pit and fencing off of an incinerator/placenta pit at Chimwemwe clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-479|2024||Proposed|Construction of an ablution block at mama Monty Combined School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-480|2024||Proposed|Construction of vegetables traders market shelter at old Nakadoli market|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-481|2024||Proposed|Construction of 1*4 classroom block at Natwange combined school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-482|2024||Proposed|Construction of a laboratory at mama Monty combined school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-483|2024||Proposed|Desk procurement|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-484|2024||Proposed|Construction and equipping of a Laboratory 1*1 classroom block at Natwange combined school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-485|2024||Proposed|Completion of a toilet a Sopelo and drilling of a borehole and equipping|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
