record_id|fiscal_year|period|category|line_item|actual_zmw|description|source_document|source_table|source_page
KIT-AFS-2024-002|2024|FY2024|Payments|Total Payments|461956584.0|Total payments for FY2024|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Statement of Cash Receipts|13.0
KIT-AFS-2024-003|2024|FY2024|Net|Increase/(Decrease) in Cash|-93815694.0|Net cash movement FY2024 (deficit)|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Statement of Cash Receipts|13.0
KIT-AFS-2024-004|2024|FY2024|Balance|Cash at end of year|28586495.0|Closing cash balance 2024|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Statement of Cash Receipts|13.0
KIT-REV-2018-LT-001|2018|FY2018|Local Taxes|Residential Rates|8398610.0|FY2018 residential rates|Kitwe-City-Council-2018-FS.pdf|Note 2|19.0
KIT-REV-2018-LT-002|2018|FY2018|Local Taxes|Industrial/Commercial Rates|15704892.0|FY2018 industrial/commercial rates|Kitwe-City-Council-2018-FS.pdf|Note 2|19.0
KIT-REV-2018-LT-003|2018|FY2018|Local Taxes|Mining Rates|10867813.0|FY2018 mining rates|Kitwe-City-Council-2018-FS.pdf|Note 2|19.0
KIT-REV-2018-LT-004|2018|FY2018|Local Taxes|Personal Levy|215019.0|FY2018 personal levy|Kitwe-City-Council-2018-FS.pdf|Note 2|19.0
KIT-REV-2019-LT-001|2019|FY2019|Local Taxes|Residential Rates|10159553.0|FY2019 residential rates|Kitwe-City-Council-2019-FS.pdf|Note 2|21.0
KIT-REV-2019-LT-002|2019|FY2019|Local Taxes|Industrial/Commercial Rates|18853520.0|FY2019 industrial/commercial rates|Kitwe-City-Council-2019-FS.pdf|Note 2|21.0
KIT-REV-2019-LT-003|2019|FY2019|Local Taxes|Mining Rates|9830402.0|FY2019 mining rates|Kitwe-City-Council-2019-FS.pdf|Note 2|21.0
KIT-REV-2019-LT-004|2019|FY2019|Local Taxes|Personal Levy|165120.0|FY2019 personal levy|Kitwe-City-Council-2019-FS.pdf|Note 2|21.0
KIT-REV-2020-LT-001|2020|FY2020|Local Taxes|Residential Rates|5770169.0|FY2020 residential rates|Kitwe-City-Council-2020-FS.pdf|Note 2|22.0
KIT-REV-2020-LT-002|2020|FY2020|Local Taxes|Industrial/Commercial Rates|18899860.0|FY2020 industrial/commercial rates|Kitwe-City-Council-2020-FS.pdf|Note 2|22.0
KIT-REV-2020-LT-003|2020|FY2020|Local Taxes|Mining Rates|12500949.0|FY2020 mining rates|Kitwe-City-Council-2020-FS.pdf|Note 2|22.0
KIT-REV-2020-LT-004|2020|FY2020|Local Taxes|Personal Levy|159405.0|FY2020 personal levy|Kitwe-City-Council-2020-FS.pdf|Note 2|22.0
KIT-REV-2021-LT-001|2021|FY2021|Local Taxes|Residential Rates|5679780.0|FY2021 residential rates|Kitwe-City-Council-2021-FS.pdf|Note 2|22.0
KIT-REV-2021-LT-002|2021|FY2021|Local Taxes|Industrial/Commercial Rates|21488186.0|FY2021 industrial/commercial rates|Kitwe-City-Council-2021-FS.pdf|Note 2|22.0
KIT-REV-2021-LT-003|2021|FY2021|Local Taxes|Mining Rates|22740486.0|FY2021 mining rates|Kitwe-City-Council-2021-FS.pdf|Note 2|22.0
KIT-REV-2021-LT-004|2021|FY2021|Local Taxes|Personal Levy|124831.0|FY2021 personal levy|Kitwe-City-Council-2021-FS.pdf|Note 2|22.0
KIT-REV-2022-LT-001|2022|FY2022|Local Taxes|Residential Rates|6155413.0|FY2022 residential rates|Kitwe-City-Council-2022-Financial-Statements.docx|Note 2|21.0
KIT-REV-2022-LT-002|2022|FY2022|Local Taxes|Industrial/Commercial Rates|19357395.0|FY2022 industrial/commercial rates|Kitwe-City-Council-2022-Financial-Statements.docx|Note 2|21.0
KIT-REV-2022-LT-003|2022|FY2022|Local Taxes|Mining Rates|31124492.0|FY2022 mining rates|Kitwe-City-Council-2022-Financial-Statements.docx|Note 2|21.0
KIT-REV-2022-LT-004|2022|FY2022|Local Taxes|Personal Levy|126770.0|FY2022 personal levy|Kitwe-City-Council-2022-Financial-Statements.docx|Note 2|21.0
KIT-REV-2023-LT-001|2023|FY2023|Local Taxes|Residential Rates|7506104.0|FY2023 residential rates|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 2|24.0
KIT-REV-2023-LT-002|2023|FY2023|Local Taxes|Industrial/Commercial Rates|19032047.0|FY2023 industrial/commercial rates|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 2|24.0
KIT-REV-2023-LT-003|2023|FY2023|Local Taxes|Mining Rates|76399799.0|FY2023 mining rates|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 2|24.0
